Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
122902,Business,Junior,2.634,0.01,Summarizing_Reading,Advanced,5,FALSE,16.67,2,Actively_Encouraged,3,2.879,82.37,Medium
133815,Arts,Senior,3.548,NaN,Copywriting/Drafting,Beginner,1,FALSE,15.61,3,NaN,6,3.909,51.3,Low
140045,NaN,Freshman,3.659,10.34,Debugging/Troubleshooting,Intermediate,2,TRUE,14.24,2,Actively_Encouraged,2,3.939,72.59,Medium
126210,Business,Sophomore,NaN,9.41,Summarizing_Reading,Intermediate,3,FALSE,8.62,3,Allowed_With_Citation,3,2.55,62.92,Medium
145808,STEM,Senior,3.713,12.98,Direct_Answer_Generation,Beginner,1,TRUE,16.87,3,Allowed_With_Citation,5,3.804,100,High
149694,NaN,Freshman,NaN,NaN,Summarizing_Reading,Advanced,3,TRUE,8.53,8,Allowed_With_Citation,5,2.866,100,High
112773,STEM,Freshman,NaN,11.06,Debugging/Troubleshooting,Beginner,2,TRUE,8.7,5,Actively_Encouraged,7,2.871,59.89,Medium
120272,Arts,Sophomore,2.54,6.95,Copywriting/Drafting,Advanced,4,FALSE,6.02,5,Allowed_With_Citation,2,NaN,77.36,High
125751,Medical,Senior,3.849,1.44,Debugging/Troubleshooting,Advanced,4,FALSE,12.21,4,Allowed_With_Citation,1,3.821,100,Low
139817,Medical,Junior,2.876,19.68,Debugging/Troubleshooting,Advanced,5,TRUE,15.63,6,NaN,6,3.53,96.68,High
146613,STEM,Sophomore,2.713,40,Summarizing_Reading,Advanced,3,TRUE,NaN,9,Allowed_With_Citation,3,NaN,68.62,NaN
111371,Medical,Freshman,3.166,0.34,Debugging/Troubleshooting,Beginner,3,FALSE,16.67,NaN,NaN,3,3.189,96.75,Low
126498,STEM,Junior,3.626,2.17,Copywriting/Drafting,Advanced,5,FALSE,19.17,3,Strict_Ban,NaN,NaN,83.7,Low
117250,Medical,Sophomore,3.186,2.25,Copywriting/Drafting,Intermediate,1,FALSE,NaN,4,Strict_Ban,3,3.103,100,Low
130074,Arts,Sophomore,2.485,9.57,Ideation,Intermediate,4,FALSE,15.99,5,Strict_Ban,5,2.767,80.47,Medium
103185,Business,Graduate,2.616,6.38,Ideation,Intermediate,1,TRUE,12.92,4,Actively_Encouraged,5,2.976,85.94,NaN
112688,STEM,Freshman,2.86,9.06,Debugging/Troubleshooting,Advanced,3,FALSE,17.07,2,Strict_Ban,5,3.525,NaN,Medium
142936,Business,Junior,3.066,3.12,Copywriting/Drafting,Beginner,NaN,TRUE,8.13,4,Actively_Encouraged,5,3.212,89.38,NaN
127788,Business,Senior,3.384,15.48,Debugging/Troubleshooting,Advanced,3,TRUE,15.28,4,Strict_Ban,9,4,98.86,Medium
108083,STEM,Sophomore,NaN,11.26,Direct_Answer_Generation,Advanced,5,TRUE,6.79,4,Strict_Ban,7,2.67,67.19,NaN
136839,Medical,Graduate,3.489,13.52,Summarizing_Reading,Advanced,3,TRUE,4.12,3,Allowed_With_Citation,2,3.537,81.19,Medium
138759,Humanities,Junior,2.985,3.64,Copywriting/Drafting,Intermediate,1,FALSE,15.94,NaN,Actively_Encouraged,2,3.212,77.92,High
130433,STEM,Junior,3.203,2.86,NaN,Intermediate,1,FALSE,15.1,2,Allowed_With_Citation,NaN,3.727,86.84,Low
105858,STEM,Sophomore,2.986,17.89,Copywriting/Drafting,Intermediate,3,FALSE,8.13,4,Actively_Encouraged,2,3.166,57.36,Medium
121990,Business,Junior,2.314,10.52,Copywriting/Drafting,Advanced,4,FALSE,4.57,3,Actively_Encouraged,5,2.467,56.65,Low
103231,Business,Senior,3.855,6.81,Debugging/Troubleshooting,Intermediate,4,FALSE,20.31,6,NaN,3,N/A,76.89,High
